投资类别,权益类信息
基金/保本基金,001238博时招财一号大数据保本混合型
基金/纯债,160515安丰18
基金/纯债,160523博时安丰18定开债
基金/纯债,000402工银瑞信纯债债券A
基金/纯债,270048广发纯债债券A
基金/纯债,511010国泰上证5年期国债ETF
基金/纯债,000563南方通利债券a
基金/纯债,700005平安大华添利债券A
基金/纯债,550018信诚优质纯债A
基金/纯债,000205易方达投资级信用债A
基金/纯债,000194银华信用四季红
基金/纯债,519985长信纯债壹号
基金/分级基金定投,150023深成指B
股票/股票雷达跟投,002405四维图新
股票/股票雷达跟投,600837海通证券
股票/股票雷达跟投,600171上海贝岭
股票/股票雷达跟投,600999招商证券
股票/股票雷达跟投,000939凯迪生态
股票/股票雷达跟投,600491龙元建设
股票/股票雷达跟投,002222福晶科技
股票/股票雷达跟投,600585海螺水泥
股票/股票雷达跟投,601599鹿港文化
股票/股票雷达跟投,002440闰土股份
股票/股票雷达跟投,002673西部证券
股票/股票雷达跟投,603959百利科技
股票/股票雷达跟投,600130波导股份
股票/股票雷达跟投,002495佳隆股份
股票/股票雷达跟投,300444双杰电气
股票/股票雷达跟投,002104恒宝股份
股票/股票雷达跟投,002276万马股份
股票/股票雷达跟投,603618杭电股份
股票/股票雷达跟投,300062中能电气
股票/股票雷达跟投,600604市北高新
股票/股票雷达跟投,600872中炬高新
股票/股票雷达跟投,600313农发种业
股票/股票雷达跟投,002772众兴菌业
股票/股票雷达跟投,600680上海普天
股票/股票雷达跟投,000554泰山石油
股票/股票雷达跟投,000055方大集团
股票/股票雷达跟投,600571DR信雅达
基金/黄金ETFI,000930博时黄金ETFI
基金/货币基金,hb09002货币-大成现金增利
基金/基金组合保守型,zh0009且慢短融债
基金/基金组合进取型,zh0010fyf京东放心稳增组合
基金/基金组合进取型,zh0001蛋卷斗牛二八轮动
基金/基金组合进取型,zh0006基金豆微笑定投
基金/基金组合进取型,zh0007中长线白马第五期
基金/基金组合稳健型,zh0002蛋卷安睡计划
基金/基金组合稳健型,zh0003蛋卷安睡全天候（海外计划）
基金/基金组合稳健型,zh0004蛋卷安睡全天候（海外计划）2
基金/基金组合稳健型,zh0005且慢八心八箭
基金/基金组合稳健型,zh0008兴全稳健1号
基金/进取,510300300EFT
基金/进取,510500500EFT
基金/进取,510900H股ETF
基金/进取,513500标普500
基金/进取,100056富国低碳环保
基金/进取,100032富国中证红利指数增强
基金/进取,000968广发中证养老指数A
基金/进取,519712交银阿尔法核心混合
基金/进取,161024军工etf
基金/进取,512660军工etf
基金/进取,002449民生加银量化
基金/进取,513100纳指EFT
基金/进取,510810上海国企
基金/进取,001051上证50ETF
基金/进取,110003上证50ETF
基金/进取,510050上证50ETF
基金/进取,510880上证红利etf
基金/进取,150023深成指B
基金/进取,001733泰达宏利量化增强股票
基金/进取,001568泰达宏利增利混合
基金/进取,001550天弘中证医药100指数A
基金/进取,001511兴全新视野
基金/进取,110026易方达创业板ETF联接
基金/进取,519670银河行业优选
基金/进取,519983长信量化先锋混合
基金/进取,512880证券etf
基金/进取,161031富国中证工业4.0指数分级
基金/可转债,519977长信可转债债券A
基金/可转债,340001兴全可转债全球混合
基金/谱蓝,000614华安德国30（DAX）ETF联接8%
基金/谱蓝,519696交银环球精选15%
基金/谱蓝,000311景顺长城沪深300增强10%
基金/谱蓝,270042纳斯达克100指数20%
基金/谱蓝,040046纳斯达克100指数20%
基金/谱蓝,000290鹏华全球高收益债30%
基金/谱蓝,118002易方达标普消费品17%
基金/谱蓝组合,zh0011谱蓝
基金/长期,513100纳指EFT
基金/长期,513500标普500
